0,1,2,3
"[('V5', 'V12', {'weight': -1}), ('V5', 'V16', {'weight': 1}), ('V16', 'V12', {'weight': -1}), ('V16', 'V5', {'weight': 1})]",120U,"{'V5', 'V16', 'V12'}",1.0
"[('V14', 'V16', {'weight': 1}), ('V14', 'V5', {'weight': 1}), ('V16', 'V5', {'weight': 1}), ('V5', 'V16', {'weight': 1})]",120D,"{'V14', 'V16', 'V5'}",1.0
"[('V15', 'V4', {'weight': -1}), ('V15', 'V8', {'weight': 1}), ('V8', 'V15', {'weight': 1}), ('V8', 'V4', {'weight': -1})]",120U,"{'V15', 'V4', 'V8'}",1.0
"[('V15', 'V4', {'weight': -1}), ('V18', 'V15', {'weight': -1}), ('V18', 'V4', {'weight': -1})]",030T,"{'V15', 'V4', 'V18'}",0.0
"[('V18', 'V15', {'weight': -1}), ('V18', 'V3', {'weight': 1}), ('V3', 'V15', {'weight': -1}), ('V3', 'V18', {'weight': 1})]",120U,"{'V15', 'V18', 'V3'}",1.0
"[('V15', 'V21', {'weight': 1}), ('V15', 'V7', {'weight': 1}), ('V7', 'V15', {'weight': 1}), ('V7', 'V21', {'weight': 1}), ('V21', 'V15', {'weight': 1}), ('V21', 'V7', {'weight': 1})]",300,"{'V15', 'V7', 'V21'}",1.0
"[('V15', 'V21', {'weight': 1}), ('V15', 'V8', {'weight': 1}), ('V8', 'V15', {'weight': 1}), ('V8', 'V21', {'weight': 1}), ('V21', 'V15', {'weight': 1}), ('V21', 'V8', {'weight': 1})]",300,"{'V21', 'V15', 'V8'}",1.0
"[('V15', 'V21', {'weight': 1}), ('V18', 'V15', {'weight': -1}), ('V18', 'V21', {'weight': 1}), ('V21', 'V15', {'weight': 1})]",120D,"{'V21', 'V15', 'V18'}",0.0
"[('V15', 'V7', {'weight': 1}), ('V15', 'V8', {'weight': 1}), ('V7', 'V15', {'weight': 1}), ('V7', 'V8', {'weight': 1}), ('V8', 'V15', {'weight': 1}), ('V8', 'V7', {'weight': 1})]",300,"{'V15', 'V7', 'V8'}",1.0
"[('V4', 'V13', {'weight': 1}), ('V4', 'V3', {'weight': -1}), ('V13', 'V3', {'weight': -1})]",030T,"{'V4', 'V13', 'V3'}",1.0
"[('V5', 'V13', {'weight': 1}), ('V4', 'V13', {'weight': 1}), ('V4', 'V5', {'weight': 1})]",030T,"{'V5', 'V4', 'V13'}",1.0
"[('V5', 'V13', {'weight': 1}), ('V5', 'V16', {'weight': 1}), ('V16', 'V13', {'weight': 1}), ('V16', 'V5', {'weight': 1})]",120U,"{'V5', 'V16', 'V13'}",1.0
"[('V21', 'V7', {'weight': 1}), ('V21', 'V8', {'weight': 1}), ('V7', 'V21', {'weight': 1}), ('V7', 'V8', {'weight': 1}), ('V8', 'V21', {'weight': 1}), ('V8', 'V7', {'weight': 1})]",300,"{'V21', 'V7', 'V8'}",1.0
