0,1,2,3
"[('V8', 'V12', {'weight': 1}), ('V8', 'V2', {'weight': 1}), ('V12', 'V2', {'weight': 1})]",X,"('V12', 'V2', 'V8')",1
"[('V6', 'V12', {'weight': -1}), ('V6', 'V8', {'weight': 1}), ('V8', 'V12', {'weight': 1})]",X,"('V12', 'V6', 'V8')",0
"[('V16', 'V2', {'weight': 1}), ('V16', 'V3', {'weight': -1}), ('V3', 'V2', {'weight': 1})]",X,"('V3', 'V16', 'V2')",0
"[('V16', 'V14', {'weight': -1}), ('V16', 'V3', {'weight': -1}), ('V14', 'V3', {'weight': -1})]",X,"('V3', 'V16', 'V14')",0
"[('V14', 'V2', {'weight': 1}), ('V14', 'V3', {'weight': -1}), ('V3', 'V2', {'weight': 1})]",X,"('V3', 'V2', 'V14')",0
"[('V6', 'V14', {'weight': -1}), ('V6', 'V3', {'weight': -1}), ('V14', 'V3', {'weight': -1})]",X,"('V3', 'V6', 'V14')",0
"[('V6', 'V14', {'weight': -1}), ('V6', 'V9', {'weight': -1}), ('V9', 'V14', {'weight': -1})]",X,"('V9', 'V6', 'V14')",0
"[('V16', 'V14', {'weight': -1}), ('V16', 'V2', {'weight': 1}), ('V14', 'V2', {'weight': 1})]",X,"('V16', 'V2', 'V14')",0
"[('V8', 'V14', {'weight': -1}), ('V8', 'V2', {'weight': 1}), ('V14', 'V2', {'weight': 1})]",X,"('V2', 'V8', 'V14')",0
"[('V6', 'V14', {'weight': -1}), ('V6', 'V8', {'weight': 1}), ('V8', 'V14', {'weight': -1})]",X,"('V6', 'V8', 'V14')",1
