0,1,2,3
"[('V14', 'V19', {'weight': -1}), ('V14', 'V5', {'weight': 1}), ('V5', 'V19', {'weight': -1})]",X,"('V14', 'V19', 'V5')",1
"[('V14', 'V16', {'weight': 1}), ('V14', 'V5', {'weight': 1}), ('V16', 'V5', {'weight': 1})]",X,"('V14', 'V16', 'V5')",1
"[('V13', 'V19', {'weight': 1}), ('V13', 'V3', {'weight': -1}), ('V3', 'V19', {'weight': 1})]",X,"('V19', 'V3', 'V13')",0
"[('V5', 'V13', {'weight': 1}), ('V5', 'V19', {'weight': -1}), ('V13', 'V19', {'weight': 1})]",X,"('V19', 'V5', 'V13')",0
"[('V15', 'V3', {'weight': -1}), ('V15', 'V4', {'weight': -1}), ('V4', 'V3', {'weight': -1})]",X,"('V15', 'V3', 'V4')",0
"[('V15', 'V18', {'weight': -1}), ('V15', 'V3', {'weight': -1}), ('V18', 'V3', {'weight': 1})]",X,"('V15', 'V3', 'V18')",1
"[('V15', 'V18', {'weight': -1}), ('V15', 'V4', {'weight': -1}), ('V4', 'V18', {'weight': -1})]",X,"('V15', 'V4', 'V18')",0
"[('V15', 'V4', {'weight': -1}), ('V15', 'V8', {'weight': 1}), ('V4', 'V8', {'weight': -1})]",X,"('V15', 'V4', 'V8')",1
"[('V21', 'V15', {'weight': 1}), ('V21', 'V18', {'weight': 1}), ('V15', 'V18', {'weight': -1})]",X,"('V15', 'V18', 'V21')",0
"[('V15', 'V21', {'weight': 1}), ('V15', 'V7', {'weight': 1}), ('V7', 'V21', {'weight': 1})]",X,"('V15', 'V21', 'V7')",1
"[('V15', 'V21', {'weight': 1}), ('V15', 'V8', {'weight': 1}), ('V8', 'V21', {'weight': 1})]",X,"('V15', 'V21', 'V8')",1
"[('V15', 'V7', {'weight': 1}), ('V15', 'V8', {'weight': 1}), ('V7', 'V8', {'weight': 1})]",X,"('V15', 'V7', 'V8')",1
"[('V5', 'V13', {'weight': 1}), ('V5', 'V16', {'weight': 1}), ('V16', 'V13', {'weight': 1})]",X,"('V16', 'V5', 'V13')",1
"[('V4', 'V13', {'weight': 1}), ('V4', 'V3', {'weight': -1}), ('V13', 'V3', {'weight': -1})]",X,"('V3', 'V4', 'V13')",1
"[('V4', 'V18', {'weight': -1}), ('V4', 'V3', {'weight': -1}), ('V18', 'V3', {'weight': 1})]",X,"('V3', 'V4', 'V18')",1
"[('V5', 'V13', {'weight': 1}), ('V5', 'V4', {'weight': 1}), ('V4', 'V13', {'weight': 1})]",X,"('V4', 'V5', 'V13')",1
"[('V21', 'V7', {'weight': 1}), ('V21', 'V8', {'weight': 1}), ('V7', 'V8', {'weight': 1})]",X,"('V21', 'V7', 'V8')",1
